,budget,cast,keywords,production_method,franchise,creative_type,genre,production_companies
Deepwater Horizon(2016),156000000.0,18.86069288717159,18.807965406498326,18.275310324703984,18.1041296577019,17.97936544889208,17.687104458583065,18.606627039802497
The Chronicles of Narnia: The Voyage of the Dawn Treader(2010),155000000.0,19.513330109675177,19.2099262706538,19.141718895390603,20.03402573194566,18.77027429612816,19.26045758445077,18.883771783213916
Terminator: Genisys(2015),155000000.0,19.499506058947645,19.319481229994853,18.275310324703984,19.69951538714007,18.873247430393473,18.97985589795907,19.501683749914122
Pacific Rim: Uprising(2018),155000000.0,19.35359820457671,19.4014246386745,18.275310324703984,19.62034516063363,18.873247430393473,18.97985589795907,19.39124820662787
Alexander(2004),155000000.0,18.864952291082794,17.808199658742765,18.275310324703984,18.1041296577019,17.97936544889208,18.97985589795907,18.49443553622859
War for the Planet of the Apes(2017),152000000.0,19.732022020646824,19.373555092294847,19.141718895390603,19.270024123287477,18.873247430393473,18.97985589795907,19.438908031041457
Pearl Harbor(2001),151500000.0,19.644514152198738,18.497554323960752,18.275310324703984,18.1041296577019,17.97936544889208,18.97985589795907,19.319449911467366
Transformers(2007),151000000.0,19.76907637491094,19.69388733016214,19.141718895390603,20.570295316231867,18.873247430393473,18.97985589795907,19.555464155841435
Wonder Woman(2017),150000000.0,19.87848631175655,19.3473336002361,18.275310324703984,20.10936539367105,19.860839450804544,18.97985589795907,19.810902533025036
Frozen(2013),150000000.0,20.37423471776577,19.34633289505592,19.524538422716148,20.870301640848016,19.19151692521183,18.669715806276724,20.002303553247177
Zootopia(2016),150000000.0,20.314218658666242,19.113933572177967,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,19.880187928278396
Harry Potter and the Order of the Phoenix(2007),150000000.0,20.162117844058848,19.78011822146306,19.141718895390603,20.67614275456622,18.77027429612816,19.26045758445077,20.35786380039569
Harry Potter and the Goblet of Fire(2005),150000000.0,20.00309021431402,19.840260992605067,19.141718895390603,20.67614275456622,18.77027429612816,19.26045758445077,19.871166905135567
The Matrix Reloaded(2003),150000000.0,19.680269322360378,19.593421520271665,19.141718895390603,20.080072244959123,18.873247430393473,18.97985589795907,19.19444409929645
I am Legend(2007),150000000.0,19.364023417101766,19.058087251067487,18.275310324703984,18.1041296577019,18.873247430393473,17.834108927330956,19.316719662950835
Moana(2016),150000000.0,19.936272766041824,19.49525236479869,19.524538422716148,18.1041296577019,19.19151692521183,18.669715806276724,19.880187928278396
Hancock(2008),150000000.0,19.543256097752014,17.808199658742765,18.275310324703984,20.15672611373055,19.860839450804544,18.97985589795907,19.429333319336727
Charlie and the Chocolate Factory(2005),150000000.0,19.493803490309247,19.089659682196963,18.275310324703984,18.1041296577019,19.19151692521183,19.26045758445077,19.332507537733502
Ratatouille(2007),150000000.0,20.121650897264704,19.20327263516429,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,20.01986657980022
Thor: The Dark World(2013),150000000.0,19.857200829065647,19.37700759579212,18.275310324703984,20.071104419073126,19.860839450804544,18.97985589795907,20.205805564412515
Batman Begins(2005),150000000.0,19.698899961755288,19.20536106784117,18.275310324703984,20.485991643359455,19.860839450804544,18.97985589795907,19.65604856981173
Mission: Impossible—Rogue Nation(2015),150000000.0,19.873419129588108,18.881428284400616,18.275310324703984,20.12377665429998,18.01463592913939,18.97985589795907,19.712031396617437
Dunkirk(2017),150000000.0,19.646613103167248,18.86545363544477,18.275310324703984,18.1041296577019,17.97936544889208,18.97985589795907,19.575510841865533
Thor(2011),150000000.0,19.721549822872888,19.226417074515442,18.275310324703984,20.071104419073126,19.860839450804544,18.97985589795907,20.222776876389098
Madagascar: Escape 2 Africa(2008),150000000.0,19.835967789549972,19.562694203106176,19.524538422716148,20.132416571697075,19.19151692521183,19.26045758445077,19.831001510396202
X-Men Origins: Wolverine(2009),150000000.0,19.358347685399785,20.109347459459283,18.275310324703984,19.646661659086444,19.860839450804544,18.97985589795907,19.66773570053001
Night at the Museum: Battle of the Smithsonian(2009),150000000.0,19.32823856743826,20.037403625523755,18.275310324703984,19.883207157517077,18.77027429612816,19.26045758445077,19.305155153224213
Kung Fu Panda 2(2011),150000000.0,19.823519880583063,19.318790397917397,19.524538422716148,20.18814887797208,19.19151692521183,19.26045758445077,19.831001510396202
Mad Max: Fury Road(2015),150000000.0,19.3028408370086,19.07587305081745,18.275310324703984,18.67989412294818,18.873247430393473,18.97985589795907,19.635707231780163
The Matrix Revolutions(2003),150000000.0,19.422565349513114,19.65723624269387,18.275310324703984,20.080072244959123,18.873247430393473,18.97985589795907,19.777687331855844
Mission: Impossible III(2006),150000000.0,19.45165739136205,19.36653569331556,18.275310324703984,20.12377665429998,18.01463592913939,18.97985589795907,19.87172914901085
Angels & Demons(2009),150000000.0,19.457599114211863,17.808199658742765,18.275310324703984,19.98272775208972,18.01463592913939,18.139730905563592,19.39714036392327
Troy(2004),150000000.0,19.696187257113458,17.808199658742765,18.275310324703984,18.1041296577019,18.16216731290656,18.97985589795907,19.313941514154738
The Last Airbender(2010),150000000.0,19.53923443198535,19.225997568604697,18.275310324703984,18.1041296577019,18.77027429612816,19.26045758445077,19.172573835831734
Ready Player One(2018),150000000.0,19.629659410397533,19.134530480001022,19.141718895390603,18.1041296577019,18.873247430393473,19.26045758445077,19.2878031873073
Bee Movie(2007),150000000.0,19.449820400299334,19.125288178449107,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,19.606376831000013
G-Force(2009),150000000.0,19.319109674480355,19.720050409174043,19.141718895390603,18.1041296577019,19.19151692521183,19.26045758445077,19.743338399063433
Bolt(2008),150000000.0,19.886177753395568,19.553025229304776,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,19.880187928278396
Wrath of the Titans(2012),150000000.0,19.468378154728118,19.204195559192833,19.141718895390603,19.75628936180243,18.77027429612816,19.26045758445077,19.32819617041294
Beowulf(2007),150000000.0,19.35548844331992,19.25649589439278,19.524538422716148,18.1041296577019,18.77027429612816,19.26045758445077,19.200260097902554
Dark Shadows(2012),150000000.0,19.18078066549164,18.896500119248056,18.275310324703984,18.1041296577019,18.77027429612816,17.243450079381812,19.21100517087054
White House Down(2013),150000000.0,19.29428537217489,19.078987623408015,18.275310324703984,18.1041296577019,18.01463592913939,18.139730905563592,19.270833934960834
The Wolfman(2010),150000000.0,19.14477995741242,19.40305039949147,18.275310324703984,18.1041296577019,18.77027429612816,17.834108927330956,18.882532461450463
The Great Wall(2017),150000000.0,19.35892448667286,19.248640597949912,18.275310324703984,18.1041296577019,18.16216731290656,18.97985589795907,19.6485862183396
Pan(2015),150000000.0,19.01818200735922,19.021606159343506,18.275310324703984,18.1041296577019,18.77027429612816,19.26045758445077,19.14561359758431
Mars Needs Moms(2011),150000000.0,18.875862237046288,19.143936133366513,19.524538422716148,18.1041296577019,18.873247430393473,19.26045758445077,19.46785563560386
Flushed Away(2006),149000000.0,18.942486273855835,18.774904394435737,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,19.214892510447587
Madagascar 3: Europe's Most Wanted(2012),145000000.0,19.719751474689385,19.222124156109512,19.524538422716148,20.132416571697075,19.19151692521183,19.26045758445077,19.961841827837482
Mission: Impossible—Ghost Protocol(2011),145000000.0,19.727407082192798,19.250431495082168,18.275310324703984,20.12377665429998,18.01463592913939,18.97985589795907,19.71203139661744
How to Train Your Dragon 2(2014),145000000.0,19.716722444796837,19.560168250782606,19.524538422716148,20.085199436704368,18.77027429612816,19.26045758445077,19.831001510396202
Tarzan(1999),145000000.0,19.448321176359332,19.12491740707687,18.655229440258736,18.1041296577019,18.16216731290656,19.26045758445077,19.874959585118198
Mr. Peabody & Sherman(2014),145000000.0,19.365374011387647,19.05077638713493,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,19.747196271290026
Rise of the Guardians(2012),145000000.0,19.410154960817156,19.26203841988212,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,19.63886339641492
Sahara(2005),145000000.0,18.642552553185972,19.777968076980425,18.275310324703984,18.1041296577019,18.01463592913939,19.26045758445077,15.7295503586238
